Element,AtomicWeight,Oxide,M,OxideWeight,element_to_oxide,oxide_to_element
Ag,107.868,Ag2O,2,231.735,1.074160085,0.930959933
Ag,107.868,AgO,1,123.867,1.148320169,0.870837269
Al,26.982,Al2O3,2,101.961,1.889426284,0.529261188
Al,26.982,AlO,1,42.981,1.592950856,0.627765757
As,74.922,As2O3,2,197.841,1.320313126,0.757396091
As,74.922,As2O5,2,229.839,1.533855209,0.651952019
B,10.811,B2O3,2,69.619,3.219822403,0.310576136
Ba,137.327,BaO,1,153.326,1.116502946,0.895653705
Be,9.012,BeO,1,25.011,2.775299601,0.360321459
Bi,208.98,Bi2O3,2,465.957,1.114836348,0.896992641
C,12.011,C2O,2,40.021,1.666014487,0.600234877
C,12.011,CO,1,28.01,2.332028973,0.428811139
C,12.011,CO2,1,44.009,3.664057947,0.272921448
C,12.011,CO3,1,60.008,4.99608692,0.200156646
Ca,40.078,CaO,1,56.077,1.399196567,0.714695865
Cd,112.411,CdO,1,128.41,1.142325929,0.8754069
Ce,140.116,CeO2,1,172.114,1.228367924,0.814088337
Co,58.933,CoO,1,74.932,1.27147778,0.786486414
Cr,51.996,Cr2O3,2,151.989,1.461545119,0.68420741
Cr,51.996,CrO2,1,83.994,1.615393492,0.619044217
Cr,51.996,CrO3,1,99.993,1.923090238,0.5199964
Cu,63.546,Cu2O,2,143.091,1.125885186,0.888190033
Cu,63.546,CuO,1,79.545,1.251770371,0.798868565
Er,167.259,Er2O3,2,382.515,1.143481068,0.874522568
Fe,55.845,Fe2O3,2,159.687,1.429734085,0.699430761
Fe,55.845,FeO,1,71.844,1.28648939,0.77730917
Ga,69.723,Ga2O3,2,187.443,1.344197754,0.743938157
Gd,157.25,Gd2O3,2,362.497,1.152613672,0.867593387
Ge,72.64,GeO2,1,104.638,1.440501101,0.694202871
H,1.007,H2O,2,18.013,8.943892751,0.111808139
Hf,178.49,HfO2,1,210.488,1.179270547,0.847981833
Hg,200.59,HgO,1,216.589,1.079759709,0.926131983
Ho,164.93,Ho2O3,2,377.857,1.145507185,0.872975755
In,114.818,In2O3,2,277.633,1.209013395,0.827120695
K,39.098,K2O,2,94.195,1.204601258,0.83015022
La,138.905,La2O3,2,325.807,1.172769159,0.852682723
Li,6.941,Li2O,2,29.881,2.15249964,0.464576152
Lu,174.967,Lu2O3,2,397.931,1.13716015,0.879383612
Mg,24.305,MgO,1,40.304,1.658259617,0.603041882
Mn,54.938,MnO ,1,70.937,1.291219193,0.774461846
Mn,54.938,Mn2O7,2,221.869,2.019267174,0.495229167
Mn,54.938,MnO2,1,86.936,1.582438385,0.631936137
Mo,95.96,MoO3,1,143.957,1.500177157,0.666587939
N,14.007,N2O3,2,76.011,2.71332191,0.36855192
N,14.007,N2O4,2,92.01,3.284429214,0.304466906
N,14.007,N2O5,2,108.009,3.855536517,0.259367275
N,14.007,NO,1,30.006,2.142214607,0.466806639
N,14.007,NO2,1,46.005,3.284429214,0.304466906
Na,22.99,Na2O,2,61.979,1.347955633,0.74186418
