"","sample","coin","lab_id","Pb_Tl","Pb208_206","Pb208_206e","Pb207_206","Pb207_206e","Pb206_204","Pb206_204e","Pb207_204","Pb207_204e","Pb208_204","Pb208_204e","Ag","Cu","Pb","Sn","Zn","Au","Fe","Si","Mn","Bi","Total","Pb_age","Pb_age_precision"
"1","D1","x60","20PB174",3.39,2.08656,0.00015,0.84646,2e-05,18.502,0.0017,15.6613,0.0017,38.605,0.0049,92.62,5.98,1.03,0.11,0.09,0.15,0,0.07,NA,0.03,100.08,219.918910961357,1.19209289550781e-07
"2","D2","x152","20PB152 Pb",1.93,2.0844,4e-05,0.84522,1e-05,18.523,3e-04,15.6559,3e-04,38.609,8e-04,93.1,4.75,1.13,NA,0.73,0.2,0,0.01,0.09,0,100.02,193.245344845261,8.94069671630859e-08
"3","D3","x161","20PB153 Pb",2.17,2.08427,3e-05,0.84498,1e-05,18.5415,4e-04,15.6671,3e-04,38.645,8e-04,94.79,3.76,0.91,0.76,0.02,0.22,0.02,NA,0.09,NA,100.57,202.543649360292,1.69901505112648
"4","D4","x101","20PB155",2.25,2.08411,0.00011,0.84481,4e-05,18.5374,0.0019,15.6606,0.0024,38.634,0.0064,90.79,6.59,1.76,NA,0.28,0.11,0.33,0.26,0.09,NA,100.21,192.231431134587,1.19209289550781e-07
"5","D5","x33","20PB175",3.22,2.08498,3e-05,0.8452,1e-05,18.5367,4e-04,15.6672,3e-04,38.648,8e-04,93.85,4.51,1.15,NA,0.09,0.24,0.07,0.08,0.01,NA,100,206.300079858293,0.951105922460556
"6","D6","x163","20PB177",3.22,2.08374,2e-04,0.8451,3e-05,18.5326,0.0019,15.6618,0.0019,38.617,0.0068,93.89,4.87,0.93,NA,0.02,0.19,0,0.09,0.02,NA,100.02,198.262041164156,1.490379601717
"7","D7","x84","20PB178",3.48,2.08387,4e-05,0.84434,1e-05,18.5543,3e-04,15.6661,3e-04,38.665,8e-04,93.07,5.51,1.1,NA,0.05,0.15,NA,0.03,0.1,NA,100.02,191.013118427712,1.18704760074615
"8","D8","x105","20PB156 Pb",2.69,2.08453,4e-05,0.84486,1e-05,18.5407,3e-04,15.6642,3e-04,38.648,8e-04,94.18,3.82,1.14,NA,0.05,0.23,0.49,0.08,0.02,NA,100.02,197.187205333146,1.44159927964211
"9","D10","x86","20PB157",2.1,2.08437,0.00014,0.84465,2e-05,18.5445,7e-04,15.6637,9e-04,38.653,0.0024,92.94,5.2,1.11,NA,0.39,0.11,0.12,0.12,NA,NA,100,193.342692926363,1.27814957499504
"10","D11","x59","20PB180",2.98,2.08466,0.00026,0.84489,4e-05,18.54,0.0011,15.6642,0.0013,38.649,0.0055,94.95,3.52,1.01,NA,0.12,0.24,0.05,0.09,0.08,NA,100.06,197.70599064036,8.94069671630859e-08
"11","D12","x85","20PB181",3.36,2.0838,3e-05,0.84328,1e-05,18.5805,4e-04,15.6687,3e-04,38.718,9e-04,94.09,4.42,1.01,0.19,0.12,0.18,0.04,NA,0.1,0.01,100.15,176.951548225139,0.746510654687881
"12","D13","x5","20PB158 Pb",2.15,2.08386,0.00015,0.84434,2e-05,18.5453,8e-04,15.6585,7e-04,38.646,0.0028,93.72,4.65,0.88,NA,0.45,0.22,NA,NA,0.08,NA,100,182.030124060476,0.88582506775856
"13","D14","x42","20PB183",2.99,2.08403,0.00034,0.84432,4e-05,18.551,0.0011,15.6629,0.0015,38.661,0.0083,95.26,3.35,0.97,NA,0.12,0.2,0.01,NA,0.09,NA,100,186.874559263868,1.35898590087891e-05
"14","D15","x91","20PB159 Pb",1.99,2.08722,4e-05,0.84518,1e-05,18.5412,4e-04,15.6706,3e-04,38.7,7e-04,92.54,5.95,1.15,0.31,0.1,0.12,NA,0.09,NA,NA,100.24,209.92491586671,8.94069671630859e-08
"15","D15","x57","20PB159",3.13,2.08735,0.00016,0.84519,1e-05,18.5422,8e-04,15.6715,0.001,38.704,0.0039,94.09,4.27,1.12,NA,0.22,0.1,0.01,0.05,0.08,0.12,100.05,211.023888673331,1.19209289550781e-07
"16","D16","x29","20PB161",1.84,2.08451,5e-05,0.84508,1e-05,18.5329,6e-04,15.6618,6e-04,38.632,0.002,89.93,8.06,1.14,NA,0.65,0.14,NA,0.08,NA,0,100,198.039515716082,8.04662704467773e-07
"17","D17","x96","20PB184",3.49,2.0853,4e-05,0.84642,1e-05,18.5074,4e-04,15.665,3e-04,38.594,9e-04,94.58,3.93,1.03,NA,0.16,0.22,NA,NA,0.08,NA,100,223.477138051375,1.78813934326172e-07
"18","D18","x25","20PB162 Pb",1.85,2.08383,4e-05,0.84438,1e-05,18.5536,3e-04,15.6661,3e-04,38.662,8e-04,94.55,3.65,1.02,NA,0.35,0.26,0.08,0.08,NA,0.01,100.01,191.531768332943,1.20683437585831
"19","D19","x108","20PB163",2.22,2.08449,7e-05,0.84504,1e-05,18.5368,0.0011,15.6642,0.001,38.639,0.0026,94.86,3.49,1.08,0.26,0.09,0.3,0.03,0.07,0.07,0.01,100.26,200.077330726667,1.57598236203194
"20","D20","x17","20PB164 Pb",1.95,2.08451,5e-05,0.84442,2e-05,18.5562,4e-04,15.6692,3e-04,38.68,8e-04,92.58,6.09,0.91,NA,0.09,0.27,NA,0.06,NA,NA,100,195.971180206346,8.04662704467773e-07
"21","D21","x2","20PB185",3.12,2.08428,4e-05,0.84443,1e-05,18.5516,3e-04,15.6653,3e-04,38.666,8e-04,93.82,4.64,1.09,0.24,0.13,0.17,NA,0.09,NA,0.01,100.19,191.369245648648,8.94069671630859e-08
"22","D22","x15","20PB165 Pb",2.04,2.08423,4e-05,0.84508,1e-05,18.5356,4e-04,15.6641,3e-04,38.633,8e-04,93.41,5.09,1.05,NA,0.26,0.1,NA,0.07,NA,0.03,100,200.761279608075,8.94069671630859e-07
"23","D23","x88","20PB186",3.2,2.08492,0.00026,0.84542,3e-05,18.5278,7e-04,15.6638,9e-04,38.629,0.0056,94.49,3.83,1,NA,0.22,0.21,0.16,0.05,0.08,0.02,100.05,205.924840268923,1.19209289550781e-07
